,Unnamed: 0,abstract,date,desk,headline,id,locations,section,snippet,source,subjects,type,url,word_count
14,14,"b""Air Force Gen Ralph E Eberhart, nation's top officer responsible for domestic security, holds nearly daily meetings at Peterson Air Force Base, Colo, where representatives of 14 agencies update him on terrorist threats and possible responses; says he prepares for possible multiple attacks that are different in nature, interview; his Northern Command would likely take charge of scene in event of large-scale terrorist attack that could overwhelm state and local governments; his emergency command center is part of 4.5-acre bunker complex built in 1960's deep within Cheyenne Mountain; photo (M)""",2002-12-27,National Desk,"b'At U.S. Nerve Center, Daily Talks on the Worst Fears'",nyt://article/0c82d972-fb30-5b45-9d80-8c6e267365c4,"['PETERSON AIR FORCE BASE (COLO)', 'CHEYENNE MOUNTAIN (COLO)']",U.S.,"b""Air Force Gen Ralph E Eberhart, nation's top officer responsible for domestic security, holds nearly daily meetings at Peterson Air Force Base, Colo, where representatives of 14 agencies update him on terrorist threats and possible responses; says...""",The New York Times,['Terrorism'],News,https://www.nytimes.com/2002/12/27/us/threats-responses-military-us-nerve-center-daily-talks-worst-fears.html,957.0
20,20,b'Immigration and Naturalization Service jails several Middle Eastern college students in Colorado who do not have enough courses to maintain student visas; students sought to register with agency because they come from countries identified as having ties to terrorism (S)',2002-12-27,National Desk,b'National Briefing | Rockies: Colorado: Jail For Middle Eastern Students',nyt://article/330c5777-2397-56b9-8ed1-bf750c622a42,['Colorado'],U.S.,b'Immigration and Naturalization Service jails several Middle Eastern college students in Colorado who do not have enough courses to maintain student visas; students sought to register with agency because they come from countries identified as havin...',The New York Times,"['FOREIGN STUDY, TEACHING AND TRAVEL', 'Colleges and Universities', 'Terrorism']",News,https://www.nytimes.com/2002/12/27/us/national-briefing-rockies-colorado-jail-for-middle-eastern-students.html,100.0
41,41,"b'Flush days of holiday air travel are over; more people are flying this year than at same time last year, when aftermath of Sept 11 attacks kept many at home, but numbers do not nearly approach those during holiday season in 2000, considered a boom year for the industry; in addition, revenue pulled in by industry each month since August has fallen below 1995 levels, trend that analysts say will continue through end of year; photos (M)'",2002-12-28,Business/Financial Desk,"b'Air Travel Up Slightly, But Revenue Still Lags'",nyt://article/d236f935-50c8-529b-8262-9cf6e95ae0a1,[],Business Day,"b'Flush days of holiday air travel are over; more people are flying this year than at same time last year, when aftermath of Sept 11 attacks kept many at home, but numbers do not nearly approach those during holiday season in 2000, considered a boom...'",The New York Times,"['AIRLINES AND AIRPLANES', 'INDUSTRY PROFILES', 'Terrorism']",News,https://www.nytimes.com/2002/12/28/business/air-travel-up-slightly-but-revenue-still-lags.html,1539.0
29,29,"b'Republican Party Web site in Guilford County, NC, following complaint from Council of American-Islamic Relations, removes link to anti-Islamic Web site, IslamExposed.com (M)'",2002-12-28,National Desk,"b""A Republican Party's Web Site Apologizes for Anti-Islam Link""",nyt://article/d93c939b-a15c-55c3-a96e-c523c45065bc,['GUILFORD COUNTY (NC)'],U.S.,"b'Republican Party Web site in Guilford County, NC, following complaint from Council of American-Islamic Relations, removes link to anti-Islamic Web site, IslamExposed.com (M)'",The New York Times,"['Muslim-Americans', 'Islam', 'Terrorism', 'Computers and the Internet']",News,https://www.nytimes.com/2002/12/28/us/a-republican-party-s-web-site-apologizes-for-anti-islam-link.html,353.0
37,37,"b'French antiterrorist police, in string of raids in Paris suburbs, reportedly arrest nine people in terrorist cell linked to Chechnyan separatists and to Al Qaeda; say raids thwarted plan to blow up Russian Embassy outside Paris to avenge deaths of several people who died in Chechnya (M)'",2002-12-28,Foreign Desk,b'France Says Arrests Halted Plot to Bomb Russian Embassy',nyt://article/8bf51496-9575-5279-b822-47ef9b114495,"['Russia', 'Chechnya (Russia)', 'Paris (France)', 'France']",World,"b'French antiterrorist police, in string of raids in Paris suburbs, reportedly arrest nine people in terrorist cell linked to Chechnyan separatists and to Al Qaeda; say raids thwarted plan to blow up Russian Embassy outside Paris to avenge deaths of...'",The New York Times,"['Bombs and Explosives', 'Foreign Service', 'Terrorism']",News,https://www.nytimes.com/2002/12/28/world/france-says-arrests-halted-plot-to-bomb-russian-embassy.html,499.0
78,78,"b'Editorial on anemic pre-Christmas consumer spending, which may be bolstered by stronger post-Christmas gift buying; sees danger that businesses and consumers may drastically alter behavior in anticipation of war with Iraq; cautions policy makers against exaggerating sluggishness of holiday sales to advance tax cuts (M)'",2002-12-28,Editorial Desk,b'A Mildly Merry Christmas',nyt://article/2c4506a0-d56e-5723-8d2d-aad6454a21ac,['Iraq'],Opinion,"b'Editorial on anemic pre-Christmas consumer spending, which may be bolstered by stronger post-Christmas gift buying; sees danger that businesses and consumers may drastically alter behavior in anticipation of war with Iraq; cautions policy makers a...'",The New York Times,"['ATOMIC WEAPONS', 'Biological and Chemical Warfare', 'United States International Relations', 'Taxation', 'Editorials', 'Terrorism', 'RETAIL STORES AND TRADE', 'Christmas', 'UNITED STATES ARMAMENT AND DEFENSE']",Editorial,https://www.nytimes.com/2002/12/28/opinion/a-mildly-merry-christmas.html,550.0
58,58,b'Environmental Protection Agency releases draft report saying most people living or working around ground zero are unlikely to suffer serious long- or short-term health effects from terror attack; contaminants found at site were primarily in areas off limits to ordinary New Yorkers; report warns that those exposed in early hours are at risk for chronic sickness; draft report is open to comment for 60 days (M)',2002-12-28,Metropolitan Desk,"b'No Serious Health Risks for Public Near Ground Zero, E.P.A. Reports'",nyt://article/6fe415c7-9b33-51df-8d26-f9883b2d0874,['New York City'],New York,b'Environmental Protection Agency releases draft report saying most people living or working around ground zero are unlikely to suffer serious long- or short-term health effects from terror attack; contaminants found at site were primarily in areas ...',The New York Times,"['World Trade Center (NYC)', 'AIRLINES AND AIRPLANES', 'Hijacking', 'AIR POLLUTION', 'Terrorism']",News,https://www.nytimes.com/2002/12/28/nyregion/no-serious-health-risks-for-public-near-ground-zero-epa-reports.html,583.0
25,25,"b'US Magistrate Steven Pepe, citing lack of evidence, orders release of Mohamed Nasser al-Ajji, Yemeni man; al-Ajji had been arrested in Detroit following tip from his former brother-in-law that he was linked to Al Qaeda and was plotting terror attack (M)'",2002-12-28,Foreign Desk,b'Judge Cites a Lack Of Terror Evidence In Releasing Yemeni',nyt://article/5981315f-d6b5-5581-9d24-a28ec9152609,"['Yemen', 'Detroit (Mich)']",World,"b'US Magistrate Steven Pepe, citing lack of evidence, orders release of Mohamed Nasser al-Ajji, Yemeni man; al-Ajji had been arrested in Detroit following tip from his former brother-in-law that he was linked to Al Qaeda and was plotting terror atta...'",The New York Times,"['AL QAEDA (TERRORIST GROUP)', 'Terrorism', 'Decisions and Verdicts']",News,https://www.nytimes.com/2002/12/28/world/threats-and-responses-judge-cites-a-lack-of-terror-evidence-in-releasing-yemeni.html,247.0
59,59,"b'Four rabbinical students are killed when Palestinian militants open fire in kitchen and dining room during Sabbath dinner at yeshiva in Otniel, West Bank; one suspected gunman is killed by Israeli soldiers and second suspect is killed later at outskirts of settlement; Hebron and three nearby villages are put under curfew following attack; Islamic Jihad spokesman says attack was act of revenge for killing of leader Hamza Abu Roub; Hamas leader vows to press ahead with suicide attacks; photo; map'",2002-12-28,Foreign Desk,b'Gunmen Kill 4 Inside Yeshiva In West Bank',nyt://article/e9fb060c-788a-56a1-aa44-4b243f28a949,"['West Bank', 'Israel', 'Hebron (West Bank)', 'OTNIEL (WEST BANK)']",World,"b'Four rabbinical students are killed when Palestinian militants open fire in kitchen and dining room during Sabbath dinner at yeshiva in Otniel, West Bank; one suspected gunman is killed by Israeli soldiers and second suspect is killed later at out...'",The New York Times,"['Palestinians', 'Bombs and Explosives', 'Curfews', 'Terrorism']",News,https://www.nytimes.com/2002/12/28/world/gunmen-kill-4-inside-yeshiva-in-west-bank.html,812.0
81,81,"b'US Navy activates Baltimore-based Comfort, one of two 1,000-bed hospital ships, for possible duty in Persian Gulf; Defense Department issues directive ordering Navy to keep two aircraft carriers and two Marine amphibious assault groups ready to be sent to Persian Gulf on 96-hour notice; photo (M)'",2002-12-28,Foreign Desk,"b'Navy Activates Hospital Ship, In Flurry of War Preparations'",nyt://article/40b2ceda-88cb-5f7d-8c2e-3477c574856d,"['Iraq', 'Persian Gulf']",World,"b'US Navy activates Baltimore-based Comfort, one of two 1,000-bed hospital ships, for possible duty in Persian Gulf; Defense Department issues directive ordering Navy to keep two aircraft carriers and two Marine amphibious assault groups ready to be...'",The New York Times,"['ATOMIC WEAPONS', 'Biological and Chemical Warfare', 'United States International Relations', 'Terrorism', 'UNITED STATES ARMAMENT AND DEFENSE']",News,https://www.nytimes.com/2002/12/28/world/threats-responses-military-navy-activates-hospital-ship-flurry-war-preparations.html,896.0
26,26,"b'At least 46 people are killed and about 70 others are wounded, at least 20 critically, as suicide bombers plow two explosive-laden vehicles into pro-Russian government headquarters in Grozny, Chechnya; Emergencies Ministry official estimates number of injured could reach 200 as workers search second building, which contained canteen and government offices and was destroyed by blasts; photos; maps (M)'",2002-12-28,Foreign Desk,b'Suicide Bombers Kill at Least 46 At Chechen Government Offices',nyt://article/818f6be8-2c92-57df-a386-7524f6e603f5,"['Russia', 'Chechnya (Russia)', 'GROZNY (CHECHNYA)']",World,"b'At least 46 people are killed and about 70 others are wounded, at least 20 critically, as suicide bombers plow two explosive-laden vehicles into pro-Russian government headquarters in Grozny, Chechnya; Emergencies Ministry official estimates numbe...'",The New York Times,"['Bombs and Explosives', 'Terrorism']",News,https://www.nytimes.com/2002/12/28/world/suicide-bombers-kill-at-least-46-at-chechen-government-offices.html,1261.0
30,30,"b'Protestant Jonathan Stewart, said to be nephew of one of leaders of Ulster Defense Assn, is fatally shot by hooded intruder at home in North Belfast (S)'",2002-12-28,Foreign Desk,b'World Briefing | Europe: Northern Ireland: Protestant Killed In Turf War',nyt://article/d4593278-4633-556c-a36d-d35b768d7169,"['Belfast (Northern Ireland)', 'Northern Ireland']",World,"b'Protestant Jonathan Stewart, said to be nephew of one of leaders of Ulster Defense Assn, is fatally shot by hooded intruder at home in North Belfast (S)'",The New York Times,"['Politics and Government', 'Terrorism']",News,https://www.nytimes.com/2002/12/28/world/world-briefing-europe-northern-ireland-protestant-killed-in-turf-war.html,125.0
69,69,"b""Pres Bush's top national security advisers reportedly decide to back effort by International Atomic Energy Agency to ask UN Security Council to declare North Korea in violation of Nuclear Nonproliferation Treaty and other agreements; administration officials are trying to cast issue as international one rather than confrontation between North Korea and US (M)""",2002-12-28,Foreign Desk,b'Bush Aides Back Effort for U.N. Denunciation of North Korea',nyt://article/40050e53-b799-5290-bd24-4ac83702f0c3,['North Korea'],World,"b""Pres Bush's top national security advisers reportedly decide to back effort by International Atomic Energy Agency to ask UN Security Council to declare North Korea in violation of Nuclear Nonproliferation Treaty and other agreements; administratio...""",The New York Times,"['ATOMIC WEAPONS', 'United States International Relations', 'ARMS CONTROL AND LIMITATION AND DISARMAMENT', 'Treaties', 'NORTH KOREA-INTERNATIONAL RELATIONS-US', 'Terrorism']",News,https://www.nytimes.com/2002/12/28/world/threats-responses-white-house-bush-aides-back-effort-for-un-denunciation-north.html,891.0
40,40,"b""Editorial opposes Bush administration's expansion of expedited removal of undocumented immigrants arriving by sea, many of them Haitians, detention of those ordered released by immigration judges while awaiting asylum hearings and restriction of Board of Immigration Appeals review process; holds government can find ways to protect legitimate asylum seekers while protecting country against terrorists""",2002-12-28,Editorial Desk,b'The Welcome Mat Frays',nyt://article/f232e9a3-3dbb-5f35-94d0-2ee61626207c,['Haiti'],Opinion,"b""Editorial opposes Bush administration's expansion of expedited removal of undocumented immigrants arriving by sea, many of them Haitians, detention of those ordered released by immigration judges while awaiting asylum hearings and restriction of B...""",The New York Times,"['ILLEGAL ALIENS', 'Asylum (Political)', 'Deportation', 'IMMIGRATION AND REFUGEES', 'Editorials', 'Terrorism']",Editorial,https://www.nytimes.com/2002/12/28/opinion/the-welcome-mat-frays.html,551.0
68,68,b'UN nuclear weapons inspectors interview Iraqi scientist Kathim Jamil on his alleged involvement in early stage of clandestine nuclear program; Jamil calls Iraqi television program to dispel notion of involvement in nuclear program; says he is metallurgist working on restoring aluminum tubes (M)',2002-12-28,Foreign Desk,"b'U.N. Inspectors Query Scientist, Who Denies Tie To Iraqi Arms'",nyt://article/09311efc-a133-58e8-8afc-8142f8e29e0c,['Iraq'],World,b'UN nuclear weapons inspectors interview Iraqi scientist Kathim Jamil on his alleged involvement in early stage of clandestine nuclear program; Jamil calls Iraqi television program to dispel notion of involvement in nuclear program; says he is meta...',The New York Times,"['ATOMIC WEAPONS', 'Biological and Chemical Warfare', 'United States International Relations', 'Television', 'Terrorism', 'UNITED STATES ARMAMENT AND DEFENSE']",News,https://www.nytimes.com/2002/12/28/world/threats-responses-interview-un-inspectors-query-scientist-who-denies-tie-iraqi.html,407.0
17,17,"b""D D Guttenplan Think Tank column examines dispute brewing in The Times Literary Supplement of London over interpretation of John Milton's Samson Agonistes; basis of argument between Oxford University's John Carey and Prof Stanley Fish is whether Milton's Biblical epic is incitement to terrorism; drawing (M)""",2002-12-28,Arts & Ideas/Cultural Desk,b'Is Reading Milton Unsafe at Any Speed?',nyt://article/31fc7a69-2258-5531-a2aa-4edc7e5f55e2,[],Books,"b""D D Guttenplan Think Tank column examines dispute brewing in The Times Literary Supplement of London over interpretation of John Milton's Samson Agonistes; basis of argument between Oxford University's John Carey and Prof Stanley Fish is whether M...""",The New York Times,"['Books and Literature', 'Terrorism']",News,https://www.nytimes.com/2002/12/28/books/think-tank-is-reading-milton-unsafe-at-any-speed.html,1096.0
94,94,"b""US Defense Department, which has battled reporters for decades over access to frontline troops during combat operations, pledges to 'embed' hundreds of correspondents, photographers and video crew members with troops if US attacks Iraq; organizes, for first time, 'media boot camps' to prepare journalists to report on troops; photos (M)""",2002-12-28,Foreign Desk,b'Pentagon Says It Will Give Journalists Access to Frontline War Units',nyt://article/a107ecbb-c74d-594a-9aee-de81cff7c652,['Iraq'],World,"b""US Defense Department, which has battled reporters for decades over access to frontline troops during combat operations, pledges to 'embed' hundreds of correspondents, photographers and video crew members with troops if US attacks Iraq; organizes,...""",The New York Times,"['ATOMIC WEAPONS', 'Biological and Chemical Warfare', 'United States International Relations', 'Terrorism', 'News and News Media', 'UNITED STATES ARMAMENT AND DEFENSE']",News,https://www.nytimes.com/2002/12/28/world/threats-responses-media-pentagon-says-it-will-give-journalists-access-frontline.html,1158.0
92,92,"b""North Korea, citing suspension of US-brokered deal to build two nuclear reactors and US Pres George Bush's designation of country as part of 'axis of evil,' announces it will expel all international nuclear inspectors and restart nuclear fuel reprocessing laboratory; outside experts fear laboratory could supply weapons-grade plutonium; top Bush administration officials, emphasizing that US is not considering military action, urge North Korea to reverse course; UN International Atomic Energy Agency says three inspectors will stay put and demands that North Korea restore cameras and seals on four facilities shut down under 1994 agreement; photo; diagram (M)""",2002-12-28,Foreign Desk,b'NORTH KOREA SAYS IT PLANS TO EXPEL NUCLEAR MONITORS',nyt://article/786c0f6a-1037-5c87-b6eb-5efa194c064d,['North Korea'],World,"b""North Korea, citing suspension of US-brokered deal to build two nuclear reactors and US Pres George Bush's designation of country as part of 'axis of evil,' announces it will expel all international nuclear inspectors and restart nuclear fuel repr...""",The New York Times,"['ATOMIC WEAPONS', 'United States International Relations', 'Plutonium', 'Shutdowns (Institutional)', 'Electric Light and Power', 'ATOMIC ENERGY', 'FACTORIES AND INDUSTRIAL PLANTS', 'Terrorism']",News,https://www.nytimes.com/2002/12/28/world/threats-responses-asian-arena-north-korea-says-it-plans-expel-nuclear-monitors.html,1240.0
85,85,"b""At recent conference on multiculturalism at Interfaith Center in New York, one participant asks: 'must we be tolerant of those who are intolerant of us?'; question reveals enormous burden tolerance has been made to bear in American society, and not simply since Sept 11; word is fixture of campaign speeches and other claims to political virtue (M)""",2002-12-29,Week in Review Desk,b'The Nation: Us and Them; The Burden Of Tolerance In a World Of Division',nyt://article/c9768813-c69e-54a1-97e5-7b84b483b812,"['New York City', 'Washington (DC)']",Week in Review,"b""At recent conference on multiculturalism at Interfaith Center in New York, one participant asks: 'must we be tolerant of those who are intolerant of us?'; question reveals enormous burden tolerance has been made to bear in American society, and no...""",The New York Times,"['World Trade Center (NYC)', 'AIRLINES AND AIRPLANES', 'International Relations', 'United States Politics and Government', 'Hijacking', 'Elections', 'Terrorism']",News,https://www.nytimes.com/2002/12/29/weekinreview/the-nation-us-and-them-the-burden-of-tolerance-in-a-world-of-division.html,1090.0
24,24,b'James Traub article on enigma of whether Al Qaeda founder and leader Osama bin Laden is dead or alive; photo (M)',2002-12-29,Magazine Desk,"b'Osama, Dead or Alive'",nyt://article/1e986ff3-9be8-508b-9c00-b78863d51702,[],Magazine,b'James Traub article on enigma of whether Al Qaeda founder and leader Osama bin Laden is dead or alive; photo (M)',The New York Times,['Terrorism'],News,https://www.nytimes.com/2002/12/29/magazine/the-way-we-live-now-12-29-02-osama-dead-or-alive.html,1039.0
84,84,"b""Kurdish security officials evaluate stream of tips about where Saddam Husein 's chemical weapons and illegal missiles are said to be hidden, and there is lively internal debate about whether tips are authentic or part of deliberte counterintelligence campaign by Iraqi security forces; photo (M)""",2002-12-29,Foreign Desk,b'Kurdish Agents Play Spy Games With Iraqis on Arms Tips',nyt://article/75781fac-4b32-5ca9-973e-ed0e98632993,['Iraq'],World,"b""Kurdish security officials evaluate stream of tips about where Saddam Husein 's chemical weapons and illegal missiles are said to be hidden, and there is lively internal debate about whether tips are authentic or part of deliberte counterintellige...""",The New York Times,"['ATOMIC WEAPONS', 'Biological and Chemical Warfare', 'United States International Relations', 'Kurds', 'Terrorism', 'UNITED STATES ARMAMENT AND DEFENSE']",News,https://www.nytimes.com/2002/12/29/world/threats-responses-northern-iraq-kurdish-agents-play-spy-games-with-iraqis-arms.html,1093.0
33,33,"b'Gershom Gorenberg remembers Sabri al-Banna, known as Abu Nidal, who died in 2002; believed in terrorism as unifying force in Arab world; photo (M)'",2002-12-29,Magazine Desk,b'The Detonator',nyt://article/35669624-032e-5042-a63c-a3a24d759fcb,[],Magazine,"b'Gershom Gorenberg remembers Sabri al-Banna, known as Abu Nidal, who died in 2002; believed in terrorism as unifying force in Arab world; photo (M)'",The New York Times,['Terrorism'],News,https://www.nytimes.com/2002/12/29/magazine/the-lives-they-lived-the-detonator.html,1458.0
36,36,"b'Numerous Manhattan law firms and financial companies lease space in White Plains and other Westchester locations to be used as standby locations; Insignia/ESG Real Estate official Dean Shapiro calls it definable trend, which began after Sept 11 attacks; photos (M)'",2002-12-29,Real Estate Desk,b'Commercial Property/Westchester; Manhattan Firms Add Backup Offices',nyt://article/ede775dd-25db-51fd-8723-e69902c30945,"['New York City', 'Westchester County (NY)', 'White Plains (NY)']",Real Estate,"b'Numerous Manhattan law firms and financial companies lease space in White Plains and other Westchester locations to be used as standby locations; Insignia/ESG Real Estate official Dean Shapiro calls it definable trend, which began after Sept 11 at...'",The New York Times,"['AIRLINES AND AIRPLANES', 'Office Buildings and Commercial Properties', 'Hijacking', 'Terrorism']",News,https://www.nytimes.com/2002/12/29/realestate/commercial-property-westchester-manhattan-firms-add-backup-offices.html,1395.0
48,48,"b""Foreign Min Joschka Fischer declines to rule out possibility of Germany voting for military action against Iraq in United Nations Security Council; comments reflect degree of flexibility absent in Chancellor Gerhard Schroder's earlier insistence that Germany would not support war even in event of affirmative vote in Security Council (S)""",2002-12-29,Foreign Desk,b'German Minister Softens Stance Against Iraq War',nyt://article/07f86bf2-d75f-5ae1-9102-199cdd2d9531,"['Germany', 'Iraq']",World,"b""Foreign Min Joschka Fischer declines to rule out possibility of Germany voting for military action against Iraq in United Nations Security Council; comments reflect degree of flexibility absent in Chancellor Gerhard Schroder's earlier insistence t...""",The New York Times,"['ATOMIC WEAPONS', 'Biological and Chemical Warfare', 'United States International Relations', 'Terrorism', 'UNITED STATES ARMAMENT AND DEFENSE']",News,https://www.nytimes.com/2002/12/29/world/threats-and-responses-german-minister-softens-stance-against-iraq-war.html,194.0
49,49,"b'Scott Anderson pays tribute to Wall Street Journal reporter Daniel Pearl, who was killed in 2002 by terrorists in Pakistan who kidnapped him; drawing (M)'",2002-12-29,Magazine Desk,b'The Target',nyt://article/b090c057-2f7c-5d32-a0dc-f33558e65e12,['Pakistan'],Magazine,"b'Scott Anderson pays tribute to Wall Street Journal reporter Daniel Pearl, who was killed in 2002 by terrorists in Pakistan who kidnapped him; drawing (M)'",The New York Times,"['Kidnapping', 'Terrorism', 'News and News Media']",News,https://www.nytimes.com/2002/12/29/magazine/the-lives-they-lived-the-target.html,1141.0
87,87,"b'Senior US officials say Saudi Arabia has given them assurances that kingdom will make its airspace, air bases and important operations center at Prince Sultan Air Base outside Riyadh available to US in event of war with Iraq; are confident that Saudis will ultimately allow attack missions, which are more politically sensitive, to be flown from their soil; Saudis remain publicly noncommittal; uncertainty about Saudi cooperation led Pentagon to build alternative air command post in Qatar, where overall American command for Iraqi operations will be headquartered (M)'",2002-12-29,Foreign Desk,b'Saudis Are Said To Assure U.S. On Use of Bases',nyt://article/4a422cb4-4bcb-541e-a894-2d191fc810bd,"['Iraq', 'Qatar', 'Doha (Qatar)', 'Saudi Arabia']",World,"b'Senior US officials say Saudi Arabia has given them assurances that kingdom will make its airspace, air bases and important operations center at Prince Sultan Air Base outside Riyadh available to US in event of war with Iraq; are confident that Sa...'",The New York Times,"['ATOMIC WEAPONS', 'Biological and Chemical Warfare', 'United States International Relations', 'Military Bases and Installations', 'PRINCE SULTAN AIR BASE (SAUDI ARABIA)', 'Terrorism', 'UNITED STATES ARMAMENT AND DEFENSE']",News,https://www.nytimes.com/2002/12/29/world/threats-and-responses-gulf-allies-saudis-are-said-to-assure-us-on-use-of-bases.html,1113.0
60,60,"b""Crisis that has reignited in Korea would lend itself to swift solution if Asia had a NATO; Pres Bush's doctrine that America can no longer tolerate rogue states with weapons of mass destruction has run into reality of Asia: that in decade since cold war ended, it has largely failed to defuse many of its geopolitical land mines; any talk of creating common security structure has remained just talk; major capitals--Moscow, Beijing, Tokyo and Seoul--have never overcome centuries of distrust, competition for dominance and open conflict that sucked US into three Asian wars in 20th century; photos (M)""",2002-12-29,Week in Review Desk,"b""Ideas & Trends; Asia's Splits Deepen Korea Crisis""",nyt://article/fc0c98a3-07bd-5aef-ba57-1f453fd3cab2,"['Japan', 'Russia', 'South Korea', 'Far East, South and Southeast Asia and Pacific Areas', 'North Korea', 'China']",Week in Review,"b""Crisis that has reignited in Korea would lend itself to swift solution if Asia had a NATO; Pres Bush's doctrine that America can no longer tolerate rogue states with weapons of mass destruction has run into reality of Asia: that in decade since co...""",The New York Times,"['ATOMIC WEAPONS', 'United States International Relations', 'Terrorism', 'UNITED STATES ARMAMENT AND DEFENSE']",News,https://www.nytimes.com/2002/12/29/weekinreview/ideas-trends-asia-s-splits-deepen-korea-crisis.html,1144.0
82,82,"b'Army reserve unit called up for military campaign in Iraq prepares to leave Fort Lauderdale, Fla, for Fort Dix, NJ, and then Kuwait; families have mixed feelings; Pentagon has plans to summon as many as 265,000 members of National Guard and Reserve if Pres Bush orders attack against Iraq (M)'",2002-12-29,National Desk,"b'Duty Calls, and Citizens Get Ready to Become Soldiers'",nyt://article/4485bd69-98e9-52b3-be4b-647562e7a913,"['Iraq', 'Great Britain']",U.S.,"b'Army reserve unit called up for military campaign in Iraq prepares to leave Fort Lauderdale, Fla, for Fort Dix, NJ, and then Kuwait; families have mixed feelings; Pentagon has plans to summon as many as 265,000 members of National Guard and Reserv...'",The New York Times,"['ATOMIC WEAPONS', 'Biological and Chemical Warfare', 'United States International Relations', 'Reserves (Military)', 'Terrorism', 'UNITED STATES ARMAMENT AND DEFENSE']",News,https://www.nytimes.com/2002/12/29/us/threats-responses-reserves-duty-calls-citizens-get-ready-become-soldiers.html,815.0
72,72,"b'Mark C Taylor discusses difficulties in finding architectural response to tragedy of Sept 11; says three proposals for rebuilding Ground Zero satisfy conceptual concerns: those submitted by Studio Daniel Libeskind, by New York team of Richard Meier, Peter Eisenman, Charles Gwathmey and Steven Holl and by United Architects; photos (L)'",2002-12-29,Arts and Leisure Desk,"b'Beyond Mourning, Building Hope on Ground Zero'",nyt://article/f8db2d27-9cd4-5d19-b3d0-6a19b00b782f,['New York City'],Arts,"b'Mark C Taylor discusses difficulties in finding architectural response to tragedy of Sept 11; says three proposals for rebuilding Ground Zero satisfy conceptual concerns: those submitted by Studio Daniel Libeskind, by New York team of Richard Meie...'",The New York Times,"['World Trade Center (NYC)', 'AIRLINES AND AIRPLANES', 'AREA PLANNING AND RENEWAL', 'Hijacking', 'ARCHITECTURE', 'Terrorism']",News,https://www.nytimes.com/2002/12/29/arts/art-architecture-world-trade-center-proposals-beyond-mourning-building-hope.html,1539.0
53,53,b'Susan Stellin Practical Traveler column on new security measures that will go into effect at US airports on December 31; Congressional mandate requires screening of all checked baggage for explosives; airline and airport executives agree that major disruptions are unlikely; tips on packing; drawing (M)',2002-12-29,Travel Desk,b'More Screening At the Airport',nyt://article/ae251f4c-7880-5ca2-8095-0915f2668041,[],Travel,b'Susan Stellin Practical Traveler column on new security measures that will go into effect at US airports on December 31; Congressional mandate requires screening of all checked baggage for explosives; airline and airport executives agree that majo...',The New York Times,"['AIRLINES AND AIRPLANES', 'AIRPORTS', 'Luggage', 'Security and Warning Systems', 'Terrorism']",News,https://www.nytimes.com/2002/12/29/travel/practical-traveler-more-screening-at-the-airport.html,1130.0
70,70,"b'Kristin Galusha-Wild moves with her young son from Brooklyn home she shared with husband Michael Stewart, who died in World Trade Center, to Manhattan apartment (Habitats column) photo (M)'",2002-12-29,Real Estate Desk,b'Habitats/Upper West Side; Renewing a Life Changed By a Loss on Sept. 11',nyt://article/48298fdb-b280-55ea-9780-e52519c5069d,['New York City'],Real Estate,"b'Kristin Galusha-Wild moves with her young son from Brooklyn home she shared with husband Michael Stewart, who died in World Trade Center, to Manhattan apartment (Habitats column) photo (M)'",The New York Times,"['World Trade Center (NYC)', 'AIRLINES AND AIRPLANES', 'Housing', 'Hijacking', 'Terrorism']",News,https://www.nytimes.com/2002/12/29/realestate/habitats-upper-west-side-renewing-a-life-changed-by-a-loss-on-sept-11.html,1245.0
71,71,"b""Iraq hands over to United Nations office in Baghdad list of more than 500 experts in development of ballistice missiles and nuclear, chemical or biological weapons, fulfilling one requirement of United Nations Security Council Resolution 1411; extent to which scientists will prove helpful in ferreting out any new information about Iraq's possible weapons of mass destruction remain open question; Kadhim Mijbel, second Iraqi scientists questioned by nuclear inspectors, suggests at news conference that all Iraqi scientists should demand that witness from government be present at interviews with inspectors and that no one should leave country to be interviewed (M)""",2002-12-29,Foreign Desk,b'Iraq Gives the U.N. a List Of 500 Weapons Experts',nyt://article/27dd1478-296c-5875-8d47-d6a71ca6dd32,['Iraq'],World,"b'Iraq hands over to United Nations office in Baghdad list of more than 500 experts in development of ballistice missiles and nuclear, chemical or biological weapons, fulfilling one requirement of United Nations Security Council Resolution 1411; ext...'",The New York Times,"['ATOMIC WEAPONS', 'Biological and Chemical Warfare', 'United States International Relations', 'Terrorism', 'UNITED STATES ARMAMENT AND DEFENSE']",News,https://www.nytimes.com/2002/12/29/world/threats-and-responses-scientists-iraq-gives-the-un-a-list-of-500-weapons-experts.html,783.0
